2022-09-30,2021-09-30,2020-09-30,2019-09-30
-77669631.03122,-6384224.912144,-1548450000.0,-257148092.369478
0.32772,0.009762,0.27,0.217369
12082000000.0,9732000000.0,10828000000.0,17194000000.0
-237000000.0,-654000000.0,-5735000000.0,-1183000000.0
-237000000.0,-654000000.0,-5735000000.0,-1183000000.0
3193000000.0,2024000000.0,-2832000000.0,10383000000.0
5163000000.0,5111000000.0,5345000000.0,4160000000.0
75952000000.0,63759000000.0,61594000000.0,57719000000.0
6682000000.0,3967000000.0,-252000000.0,11851000000.0
-1397000000.0,-1406000000.0,-1491000000.0,-978000000.0
1397000000.0,1406000000.0,1491000000.0,978000000.0
152000000.0,140000000.0,156000000.0,268000000.0
3352330368.96878,2671615775.087856,1354550000.0,11308851907.630522
3145000000.0,1995000000.0,-2864000000.0,11054000000.0
75952000000.0,63759000000.0,61594000000.0,57719000000.0
1827000000.0,1828000000.0,1808000000.0,1666000000.0
1822000000.0,1816000000.0,1808000000.0,1656000000.0
1.72,1.09,-1.58,6.64
1.73,1.1,-1.58,6.68
3145000000.0,1995000000.0,-2864000000.0,11054000000.0
3145000000.0,1995000000.0,-2864000000.0,11054000000.0
3145000000.0,1995000000.0,-2864000000.0,11054000000.0
-360000000.0,-512000000.0,-390000000.0,-530000000.0
3505000000.0,2507000000.0,-2474000000.0,11584000000.0
-48000000.0,-29000000.0,-32000000.0,671000000.0
3553000000.0,2536000000.0,-2442000000.0,10913000000.0
1732000000.0,25000000.0,699000000.0,3031000000.0
5285000000.0,2561000000.0,-1743000000.0,13944000000.0
-88000000.0,308000000.0,-4046000000.0,3071000000.0
-667000000.0,201000000.0,1038000000.0,4357000000.0
-237000000.0,-654000000.0,-5735000000.0,-1183000000.0
,,,28000000.0
0.0,312000000.0,,
,,-973000000.0,465000000.0
237000000.0,654000000.0,5735000000.0,1183000000.0
816000000.0,761000000.0,651000000.0,-103000000.0
-663000000.0,-111000000.0,1038000000.0,
-1397000000.0,-1406000000.0,-1491000000.0,-978000000.0
,,,978000000.0
1397000000.0,1406000000.0,1491000000.0,978000000.0
152000000.0,140000000.0,156000000.0,268000000.0
6770000000.0,3659000000.0,3794000000.0,11851000000.0
21551000000.0,18628000000.0,17714000000.0,15701000000.0
5163000000.0,5111000000.0,5345000000.0,4160000000.0
5163000000.0,5111000000.0,5345000000.0,4160000000.0
16388000000.0,13517000000.0,12369000000.0,11541000000.0
6770000000.0,3659000000.0,3794000000.0,11851000000.0
75952000000.0,63759000000.0,61594000000.0,57719000000.0
82722000000.0,67418000000.0,65388000000.0,69570000000.0
82722000000.0,67418000000.0,65388000000.0,69570000000.0
